"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","C2","ke0","Ceff","centr","peri","AUC","Drug"
"53",2,2,2,15.2249368115561,1.16609939020959,2.69711413696417,3.43715816821667,0.177151089055226,2.31293675274061,2,2,0.225758452120982,0.396790019960164,0.431257018665796,0.5,0.396790019960164,6.04110298134959,0.502888546489789,1.00548427015034,"Drug2"
"54",2,2,2,10.0002539231795,0.765583529698241,4.03739070855381,6.28493121749611,0.403728819244836,5.27361228649364,2,2,0.628477163257655,0.286603933739259,0.32191995366796,0.5,0.286603933739259,2.86611211277471,0.246456614409411,1.09586422420066,"Drug2"
"55",2,2,2,6.31463690299502,0.979899239747536,1.90002296420225,3.72486982744677,0.300891879199114,1.93899830424583,2,2,0.589878703188788,0.469860870673724,0.608520649047201,0.5,0.469860870673724,2.96700079322967,0.59628892137203,1.72803630289824,"Drug2"
"56",2,2,2,7.5196363441113,1.22533539484465,2.41383738461343,4.28983336887618,0.321004537207938,1.96994014436306,2,2,0.570484152765658,0.408017734923731,0.521221003077829,0.5,0.408017734923731,3.06814498857446,0.638670543607697,1.46699974723412,"Drug2"
"57",2,2,2,7.77278911615287,0.91574955996391,1.6632579293804,3.49185425702736,0.213984697709595,1.8162803479217,2,2,0.449240832968288,0.497648410156933,0.608866481933887,0.5,0.497648410156933,3.86811614613858,0.557569212907731,1.59637666140716,"Drug2"
"58",2,2,2,10.4388275583255,0.949723015840008,1.89264382932734,7.18296510591289,0.181308084528885,1.99283769874034,2,2,0.688100753248299,0.240387711385287,0.330830502704012,0.5,0.240387711385287,2.50936586629154,0.31419734275992,0.999091139262396,"Drug2"
"59",2,2,2,12.5281452417943,1.04651392690361,1.6313293778846,7.93067875862306,0.130213159761466,1.55882242552788,2,2,0.633028960437502,0.220375755439464,0.307215501170655,0.5,0.220375755439464,2.76089947191573,0.321505300535764,0.872257651342513,"Drug2"
"60",2,2,2,9.48374071547507,0.595767371823717,2.95346325943821,4.3133376547081,0.311423872504117,4.95741022271377,2,2,0.454813958343444,0.418696624470463,0.45798609902554,0.5,0.418696624470463,3.97081022492251,0.272853174548242,1.33454346989183,"Drug2"
"61",2,2,2,6.29373571175664,0.823367032836923,4.38625733353584,5.52248568187395,0.696924296541775,5.32722001076838,2,2,0.877457512484676,0.294234224717191,0.343282019584263,0.5,0.294234224717191,1.85183244772361,0.282647097891361,1.42427176954056,"Drug2"
"62",2,2,2,13.7574884931539,1.02773463827829,2.65129973458819,4.7259045911681,0.192716841879064,2.57975126636753,2,2,0.343515067704388,0.352016636556593,0.39818683307372,0.5,0.352016636556593,4.84286482682607,0.409230400856196,1.00465523176044,"Drug2"
