"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","ke0","Ceff","centr","AUC","Drug"
"33",2,2,2,2.62678761648743,1,2,0.724401317658234,0.5,0.25,2,2,0.275774605115168,2.19300823144626,0.5,2.19300823144626,5.76056686521802,5.8523266474539,"Drug1"
"34",2,2,2,2.23594093004076,1,2,1.01288882270539,0.5,0.25,2,2,0.45300339069643,1.80744849550778,0.5,1.80744849550778,4.04134807004645,5.88282918754912,"Drug1"
"35",2,2,2,1.85665855065354,1,2,1.21483031496069,0.5,0.25,2,2,0.65431003160655,1.45526301523597,0.5,1.45526301523597,2.70192652068772,6.00748383493247,"Drug1"
"36",2,2,2,1.75280915482335,1,2,1.12474137996241,0.5,0.25,2,2,0.641679316237804,1.58091966199933,0.5,1.58091966199933,2.77105045659267,6.42721044339001,"Drug1"
"37",2,2,2,1.78980807675939,1,2,0.832181368979505,0.5,0.25,2,2,0.464955645124949,2.20464260961978,0.5,2.20464260961978,3.94588714906538,7.2749920589531,"Drug1"
"38",2,2,2,2.21418781747918,1,2,0.884265334593768,0.5,0.25,2,2,0.399363291412421,2.0319031201665,0.5,2.0319031201665,4.4990151349706,6.2209663206537,"Drug1"
"39",2,2,2,2.83433598743188,1,2,0.870824174556635,0.5,0.25,2,2,0.307240982867973,1.90845771882688,0.5,1.90845771882688,5.40921039296317,5.27177556752389,"Drug1"
"40",2,2,2,1.75122988987904,1,2,0.786258257985043,0.5,0.25,2,2,0.448974896173883,2.3263882797688,0.5,2.3263882797688,4.07404069099541,7.53691201182568,"Drug1"
"41",2,2,2,3.25499540610318,1,2,1.02559744466542,0.5,0.25,2,2,0.315084145047457,1.6359537054973,0.5,1.6359537054973,5.32502179599117,4.55829743758181,"Drug1"
"42",2,2,2,2.29574146347697,1,2,0.837632179069964,0.5,0.25,2,2,0.364863462369732,2.09971642951217,0.5,2.09971642951217,4.82040606877491,6.18361383510369,"Drug1"
"43",2,2,2,2.22705328229481,1,2,1.43286620400638,0.5,0.25,2,2,0.643391074384139,1.24001520968357,0.5,1.24001520968357,2.7615799428213,5.05170687740391,"Drug1"
"44",2,2,2,4.0382024879461,1,2,1.09914827923028,0.5,0.25,2,2,0.272187509792091,1.43678849360584,0.5,1.43678849360584,5.80204286953142,3.81928190199088,"Drug1"
"45",2,2,2,2.49259873337544,1,2,1.78217866956831,0.5,0.25,2,2,0.714988195133561,0.960100691404653,0.5,0.960100691404653,2.39314576730813,4.26828934864003,"Drug1"
"46",2,2,2,2.89248102116893,1,2,0.903776585770297,0.5,0.25,2,2,0.312457222417679,1.85068535248318,0.5,1.85068535248318,5.35307225821292,5.14167750631252,"Drug1"
"47",2,2,2,1.15346105721947,1,2,0.997554750253977,0.5,0.25,2,2,0.864836089619431,1.53748180883096,0.5,1.53748180883096,1.77342539266986,8.24673994608883,"Drug1"
"48",2,2,2,3.38390089196315,1,2,1.16768930447697,0.5,0.25,2,2,0.345071957411714,1.48202889881827,0.5,1.48202889881827,5.0150389126263,4.26908173968978,"Drug1"
"49",2,2,2,2.36464999318389,1,2,1.63778910305849,0.5,0.25,2,2,0.692613751624732,1.05836746207022,0.5,1.05836746207022,2.50266861197039,4.57771478270841,"Drug1"
"50",2,2,2,2.97372144067738,1,2,1.50436606647122,0.5,0.25,2,2,0.505886679866203,1.22262179136765,0.5,1.22262179136765,3.63573663482936,4.23052839798443,"Drug1"
"51",2,2,2,4.52741999237583,1,2,1.08459267175145,0.5,0.25,2,2,0.239560869894532,1.3679470530887,0.5,1.3679470530887,6.19327083666538,3.50982379143992,"Drug1"
"52",2,2,2,1.64334867945338,1,2,0.845768364355596,0.5,0.25,2,2,0.514661541357686,2.1739069356937,0.5,2.1739069356937,3.57248709202679,7.59961376998351,"Drug1"
"53",2,2,2,3.80623420288903,1,2,0.687431633643334,0.5,0.25,2,2,0.180606761696786,1.83076015802686,0.5,1.83076015802686,6.96830193076835,4.41018120327673,"Drug1"
"54",2,2,2,2.50006348079488,1,2,1.25698624349922,0.5,0.25,2,2,0.502781730606124,1.46331661766798,0.5,1.46331661766798,3.65838443667201,5.04509543849428,"Drug1"
"55",2,2,2,1.57865922574875,1,2,0.744973965489353,0.5,0.25,2,2,0.47190296255103,2.46502827532736,0.5,2.46502827532736,3.89143962857708,8.19969643826463,"Drug1"
"56",2,2,2,1.87990908602782,1,2,0.857966673775236,0.5,0.25,2,2,0.456387322212526,2.13525704832917,0.5,2.13525704832917,4.01408912615896,6.97685709341339,"Drug1"
"57",2,2,2,1.94319727903822,1,2,0.698370851405471,0.5,0.25,2,2,0.35939266637463,2.50794844041479,0.5,2.50794844041479,4.87343858538215,7.34074368124133,"Drug1"
"58",2,2,2,2.60970688958138,1,2,1.43659302118258,0.5,0.25,2,2,0.550480602598639,1.27428595358356,0.5,1.27428595358356,3.32551283236379,4.64605289683357,"Drug1"
"59",2,2,2,3.13203631044857,1,2,1.58613575172461,0.5,0.25,2,2,0.506423168350002,1.15957712669455,0.5,1.15957712669455,3.63183766557295,4.01489111351466,"Drug1"
"60",2,2,2,2.37093517886877,1,2,0.86266753094162,0.5,0.25,2,2,0.363851166674755,2.0372447759813,0.5,2.0372447759813,4.83017530734068,5.99283560262935,"Drug1"
"61",2,2,2,1.57343392793916,1,2,1.10449713637479,0.5,0.25,2,2,0.701966009987741,1.56110302854945,0.5,1.56110302854945,2.45629247012827,6.82999283695011,"Drug1"
"62",2,2,2,3.43937212328848,1,2,0.945180918233621,0.5,0.25,2,2,0.274812054163511,1.67811653328662,0.5,1.67811653328662,5.7716672242155,4.47356976237581,"Drug1"
"63",2,2,2,1.71957868704067,1,2,1.05231565620092,0.5,0.25,2,2,0.611961327580719,1.71015351029344,0.5,1.71015351029344,2.94074352786837,6.70830698995493,"Drug1"
"64",2,2,2,2.27565994627748,1,2,1.22876733954146,0.5,0.25,2,2,0.539960876646563,1.49241147616161,0.5,1.49241147616161,3.39622101966583,5.37431193670766,"Drug1"
"65",2,2,2,4.45714726132333,1,2,0.622771981237334,0.5,0.25,2,2,0.139724344905856,1.696602071044,0.5,1.696602071044,7.56200527450924,3.91474696829957,"Drug1"
"66",2,2,2,2.11905669624195,1,2,0.675846526547775,0.5,0.25,2,2,0.318937444074223,2.49362923074446,0.5,2.49362923074446,5.28414171935373,6.97770587759752,"Drug1"
"67",2,2,2,4.29014931769009,1,2,0.984929925025826,0.5,0.25,2,2,0.229579404372837,1.47271074426639,0.5,1.47271074426639,6.31814899466933,3.73818574477178,"Drug1"
"68",2,2,2,2.76929331161454,1,2,0.850268404998408,0.5,0.25,2,2,0.307034434175803,1.95408892316637,0.5,1.95408892316637,5.4114453852247,5.39659546068147,"Drug1"
"69",2,2,2,1.51818164037543,1,2,1.10058577507849,0.5,0.25,2,2,0.724936822978787,1.54526919517864,0.5,1.54526919517864,2.34599932155792,6.9544790163186,"Drug1"
"70",2,2,2,2.24213039423842,1,2,0.882232638346424,0.5,0.25,2,2,0.393479630182744,2.03033205483877,0.5,2.03033205483877,4.55226921055056,6.17493680539882,"Drug1"
"71",2,2,2,1.49297285300255,1,2,1.06726122836593,0.5,0.25,2,2,0.714856419672696,1.6033624123881,0.5,1.6033624123881,2.3937765552201,7.12686195527377,"Drug1"
"72",2,2,2,4.28326378779253,1,2,0.526138322196809,0.5,0.25,2,2,0.122835843941324,1.82612843892586,0.5,1.82612843892586,7.82178981430923,4.13999530883058,"Drug1"
"73",2,2,2,2.86469430216702,1,2,0.937926988864237,0.5,0.25,2,2,0.32740910196063,1.81358445260845,0.5,1.81358445260845,5.19536504788612,5.12261083128866,"Drug1"
"74",2,2,2,2.06454017525745,1,2,0.873664141057325,0.5,0.25,2,2,0.423176139426968,2.07783251926164,0.5,2.07783251926164,4.28976871347207,6.53595703220381,"Drug1"
"75",2,2,2,1.75045147948621,1,2,1.18081138982721,0.5,0.25,2,2,0.674575333087097,1.48224925145704,0.5,1.48224925145704,2.59460539518032,6.27144577755412,"Drug1"
"76",2,2,2,2.68973682365897,1,2,1.57477186004518,0.5,0.25,2,2,0.585474328266417,1.15279922607799,0.5,1.15279922607799,3.10072652866754,4.38112570231888,"Drug1"
"77",2,2,2,2.45321611811723,1,2,1.08647436528017,0.5,0.25,2,2,0.442877558669398,1.68106936181175,0.5,1.68106936181175,4.12402645406961,5.40829469493753,"Drug1"
"78",2,2,2,3.47617367408486,1,2,0.493476485555124,0.5,0.25,2,2,0.141959675154906,2.16567820847046,0.5,2.16567820847046,7.52827357482427,5.00880284578349,"Drug1"
"79",2,2,2,1.87142540572703,1,2,0.718184267615854,0.5,0.25,2,2,0.383763234921375,2.48024721053443,0.5,2.48024721053443,4.64159764227774,7.4610411273843,"Drug1"
"80",2,2,2,2.47356579620181,1,2,0.644257878405155,0.5,0.25,2,2,0.26045714223346,2.40129952064297,0.5,2.40129952064297,5.93977236069826,6.30217770771037,"Drug1"
"81",2,2,2,4.64435091796117,1,2,0.846639503665801,0.5,0.25,2,2,0.182294473139741,1.49532641674038,0.5,1.49532641674038,6.94482061623977,3.60859535910129,"Drug1"
"82",2,2,2,2.92086772734516,1,2,1.1790350946367,0.5,0.25,2,2,0.403659187849753,1.5271236248329,0.5,1.5271236248329,4.46052611144079,4.69831128331773,"Drug1"
"83",2,2,2,1.54486782110707,1,2,1.14438120439306,0.5,0.25,2,2,0.740763182945311,1.47126178146139,0.5,1.47126178146139,2.27290498260437,6.75220371300471,"Drug1"
"84",2,2,2,1.8438158548307,1,2,0.926020201733604,0.5,0.25,2,2,0.502230306409113,1.98632704814617,0.5,1.98632704814617,3.66242130425097,6.84388816127818,"Drug1"
"85",2,2,2,3.0391048104805,1,2,1.17638065025936,0.5,0.25,2,2,0.387081303087197,1.51718931544832,0.5,1.51718931544832,4.61089734698859,4.58108746673389,"Drug1"
"86",2,2,2,1.66630522138603,1,2,1.03530030603016,0.5,0.25,2,2,0.62131492642686,1.73212074116707,0.5,1.73212074116707,2.88624183507773,6.87120260999425,"Drug1"
